"id","name","xp_reward","type","hp","atk","def","spatk","spdef","spd"
304,"aron",66,"steel",50.0,70.0,100.0,40.0,40.0,30.0
305,"lairon",151,"steel",60.0,90.0,140.0,50.0,50.0,40.0
306,"aggron",265,"steel",70.0,110.0,180.0,60.0,60.0,50.0
307,"meditite",56,"fighting",30.0,40.0,55.0,40.0,55.0,60.0
308,"medicham",144,"fighting",60.0,60.0,75.0,60.0,75.0,80.0
309,"electrike",59,"electric",40.0,45.0,40.0,65.0,40.0,65.0
310,"manectric",166,"electric",70.0,75.0,60.0,105.0,60.0,105.0
311,"plusle",142,"electric",60.0,50.0,40.0,85.0,75.0,95.0
312,"minun",142,"electric",60.0,40.0,50.0,75.0,85.0,95.0
313,"volbeat",151,"bug",65.0,73.0,75.0,47.0,85.0,85.0
314,"illumise",151,"bug",65.0,47.0,75.0,73.0,85.0,85.0
315,"roselia",140,"grass",50.0,60.0,45.0,100.0,80.0,65.0
316,"gulpin",60,"poison",70.0,43.0,53.0,43.0,53.0,40.0
317,"swalot",163,"poison",100.0,73.0,83.0,73.0,83.0,55.0
318,"carvanha",61,"water",45.0,90.0,20.0,65.0,20.0,65.0
319,"sharpedo",161,"water",70.0,120.0,40.0,95.0,40.0,95.0
320,"wailmer",80,"water",130.0,70.0,35.0,70.0,35.0,60.0
321,"wailord",175,"water",170.0,90.0,45.0,90.0,45.0,60.0
322,"numel",61,"fire",60.0,60.0,40.0,65.0,45.0,35.0
323,"camerupt",161,"fire",70.0,100.0,70.0,105.0,75.0,40.0
324,"torkoal",165,"fire",70.0,85.0,140.0,85.0,70.0,20.0
325,"spoink",66,"psychic",60.0,25.0,35.0,70.0,80.0,60.0
326,"grumpig",165,"psychic",80.0,45.0,65.0,90.0,110.0,80.0
327,"spinda",126,"normal",60.0,60.0,60.0,60.0,60.0,60.0
328,"trapinch",58,"ground",45.0,100.0,45.0,45.0,45.0,10.0
329,"vibrava",119,"ground",50.0,70.0,50.0,50.0,50.0,70.0
330,"flygon",260,"ground",80.0,100.0,80.0,80.0,80.0,100.0
331,"cacnea",67,"grass",50.0,85.0,40.0,85.0,40.0,35.0
332,"cacturne",166,"grass",70.0,115.0,60.0,115.0,60.0,55.0
333,"swablu",62,"normal",45.0,40.0,60.0,40.0,75.0,50.0
334,"altaria",172,"dragon",75.0,70.0,90.0,70.0,105.0,80.0
335,"zangoose",160,"normal",73.0,115.0,60.0,60.0,60.0,90.0
336,"seviper",160,"poison",73.0,100.0,60.0,100.0,60.0,65.0
337,"lunatone",161,"rock",90.0,55.0,65.0,95.0,85.0,70.0
338,"solrock",161,"rock",90.0,95.0,85.0,55.0,65.0,70.0
339,"barboach",58,"water",50.0,48.0,43.0,46.0,41.0,60.0
340,"whiscash",164,"water",110.0,78.0,73.0,76.0,71.0,60.0
341,"corphish",62,"water",43.0,80.0,65.0,50.0,35.0,35.0
342,"crawdaunt",164,"water",63.0,120.0,85.0,90.0,55.0,55.0
343,"baltoy",60,"ground",40.0,40.0,55.0,40.0,70.0,55.0
344,"claydol",175,"ground",60.0,70.0,105.0,70.0,120.0,75.0
345,"lileep",71,"rock",66.0,41.0,77.0,61.0,87.0,23.0
346,"cradily",173,"rock",86.0,81.0,97.0,81.0,107.0,43.0
347,"anorith",71,"rock",45.0,95.0,50.0,40.0,50.0,75.0
348,"armaldo",173,"rock",75.0,125.0,100.0,70.0,80.0,45.0
349,"feebas",40,"water",20.0,15.0,20.0,10.0,55.0,80.0
350,"milotic",189,"water",95.0,60.0,79.0,100.0,125.0,81.0
351,"castform",147,"normal",70.0,70.0,70.0,70.0,70.0,70.0
352,"kecleon",154,"normal",60.0,90.0,70.0,60.0,120.0,40.0
353,"shuppet",59,"ghost",44.0,75.0,35.0,63.0,33.0,45.0
354,"banette",159,"ghost",64.0,115.0,65.0,83.0,63.0,65.0
355,"duskull",59,"ghost",20.0,40.0,90.0,30.0,90.0,25.0
356,"dusclops",159,"ghost",40.0,70.0,130.0,60.0,130.0,25.0
357,"tropius",161,"grass",99.0,68.0,83.0,72.0,87.0,51.0
358,"chimecho",159,"psychic",75.0,50.0,80.0,95.0,90.0,65.0
359,"absol",163,"dark",65.0,130.0,60.0,75.0,60.0,75.0
360,"wynaut",52,"psychic",95.0,23.0,48.0,23.0,48.0,23.0
361,"snorunt",60,"ice",50.0,50.0,50.0,50.0,50.0,50.0
362,"glalie",168,"ice",80.0,80.0,80.0,80.0,80.0,80.0
363,"spheal",58,"ice",70.0,40.0,50.0,55.0,50.0,25.0
364,"sealeo",144,"ice",90.0,60.0,70.0,75.0,70.0,45.0
365,"walrein",265,"ice",110.0,80.0,90.0,95.0,90.0,65.0
366,"clamperl",69,"water",35.0,64.0,85.0,74.0,55.0,32.0
367,"huntail",170,"water",55.0,104.0,105.0,94.0,75.0,52.0
368,"gorebyss",170,"water",55.0,84.0,105.0,114.0,75.0,52.0
369,"relicanth",170,"water",100.0,90.0,130.0,45.0,65.0,55.0
370,"luvdisc",116,"water",43.0,30.0,55.0,40.0,65.0,97.0
371,"bagon",60,"dragon",45.0,75.0,60.0,40.0,30.0,50.0
372,"shelgon",147,"dragon",65.0,95.0,100.0,60.0,50.0,50.0
373,"salamence",300,"dragon",95.0,135.0,80.0,110.0,80.0,100.0
374,"beldum",60,"steel",40.0,55.0,80.0,35.0,60.0,30.0
375,"metang",147,"steel",60.0,75.0,100.0,55.0,80.0,50.0
376,"metagross",300,"steel",80.0,135.0,130.0,95.0,90.0,70.0
377,"regirock",290,"rock",80.0,100.0,200.0,50.0,100.0,50.0
378,"regice",290,"ice",80.0,50.0,100.0,100.0,200.0,50.0
379,"registeel",290,"steel",80.0,75.0,150.0,75.0,150.0,50.0
380,"latias",300,"dragon",80.0,80.0,90.0,110.0,130.0,110.0
381,"latios",300,"dragon",80.0,90.0,80.0,130.0,110.0,110.0
382,"kyogre",335,"water",100.0,100.0,90.0,150.0,140.0,90.0
383,"groudon",335,"ground",100.0,150.0,140.0,100.0,90.0,90.0
384,"rayquaza",340,"dragon",105.0,150.0,90.0,150.0,90.0,95.0
385,"jirachi",300,"steel",100.0,100.0,100.0,100.0,100.0,100.0
386,"deoxys-normal",270,"psychic",50.0,150.0,50.0,150.0,50.0,150.0
387,"turtwig",64,"grass",55.0,68.0,64.0,45.0,55.0,31.0
388,"grotle",142,"grass",75.0,89.0,85.0,55.0,65.0,36.0
389,"torterra",236,"grass",95.0,109.0,105.0,75.0,85.0,56.0
390,"chimchar",62,"fire",44.0,58.0,44.0,58.0,44.0,61.0
391,"monferno",142,"fire",64.0,78.0,52.0,78.0,52.0,81.0
392,"infernape",240,"fire",76.0,104.0,71.0,104.0,71.0,108.0
393,"piplup",63,"water",53.0,51.0,53.0,61.0,56.0,40.0
394,"prinplup",142,"water",64.0,66.0,68.0,81.0,76.0,50.0
395,"empoleon",239,"water",84.0,86.0,88.0,111.0,101.0,60.0
396,"starly",49,"normal",40.0,55.0,30.0,30.0,30.0,60.0
397,"staravia",119,"normal",55.0,75.0,50.0,40.0,40.0,80.0
398,"staraptor",218,"normal",85.0,120.0,70.0,50.0,60.0,100.0
399,"bidoof",50,"normal",59.0,45.0,40.0,35.0,40.0,31.0
400,"bibarel",144,"normal",79.0,85.0,60.0,55.0,60.0,71.0
401,"kricketot",39,"bug",37.0,25.0,41.0,25.0,41.0,25.0
402,"kricketune",134,"bug",77.0,85.0,51.0,55.0,51.0,65.0
403,"shinx",53,"electric",45.0,65.0,34.0,40.0,34.0,45.0
404,"luxio",127,"electric",60.0,85.0,49.0,60.0,49.0,60.0
405,"luxray",262,"electric",80.0,120.0,79.0,95.0,79.0,70.0
406,"budew",56,"grass",40.0,30.0,35.0,50.0,70.0,55.0
407,"roserade",258,"grass",60.0,70.0,65.0,125.0,105.0,90.0
408,"cranidos",70,"rock",67.0,125.0,40.0,30.0,30.0,58.0
409,"rampardos",173,"rock",97.0,165.0,60.0,65.0,50.0,58.0
410,"shieldon",70,"rock",30.0,42.0,118.0,42.0,88.0,30.0
411,"bastiodon",173,"rock",60.0,52.0,168.0,47.0,138.0,30.0
412,"burmy",45,"bug",40.0,29.0,45.0,29.0,45.0,36.0
413,"wormadam-plant",148,"bug",60.0,59.0,85.0,79.0,105.0,36.0
414,"mothim",148,"bug",70.0,94.0,50.0,94.0,50.0,66.0
415,"combee",49,"bug",30.0,30.0,42.0,30.0,42.0,70.0
416,"vespiquen",166,"bug",70.0,80.0,102.0,80.0,102.0,40.0
417,"pachirisu",142,"electric",60.0,45.0,70.0,45.0,90.0,95.0
418,"buizel",66,"water",55.0,65.0,35.0,60.0,30.0,85.0
419,"floatzel",173,"water",85.0,105.0,55.0,85.0,50.0,115.0
420,"cherubi",55,"grass",45.0,35.0,45.0,62.0,53.0,35.0
421,"cherrim",158,"grass",70.0,60.0,70.0,87.0,78.0,85.0
422,"shellos",65,"water",76.0,48.0,48.0,57.0,62.0,34.0
423,"gastrodon",166,"water",111.0,83.0,68.0,92.0,82.0,39.0
424,"ambipom",169,"normal",75.0,100.0,66.0,60.0,66.0,115.0
425,"drifloon",70,"ghost",90.0,50.0,34.0,60.0,44.0,70.0
426,"drifblim",174,"ghost",150.0,80.0,44.0,90.0,54.0,80.0
427,"buneary",70,"normal",55.0,66.0,44.0,44.0,56.0,85.0
428,"lopunny",168,"normal",65.0,76.0,84.0,54.0,96.0,105.0
429,"mismagius",173,"ghost",60.0,60.0,60.0,105.0,105.0,105.0
430,"honchkrow",177,"dark",100.0,125.0,52.0,105.0,52.0,71.0
431,"glameow",62,"normal",49.0,55.0,42.0,42.0,37.0,85.0
432,"purugly",158,"normal",71.0,82.0,64.0,64.0,59.0,112.0
433,"chingling",57,"psychic",45.0,30.0,50.0,65.0,50.0,45.0
434,"stunky",66,"poison",63.0,63.0,47.0,41.0,41.0,74.0
435,"skuntank",168,"poison",103.0,93.0,67.0,71.0,61.0,84.0
436,"bronzor",60,"steel",57.0,24.0,86.0,24.0,86.0,23.0
437,"bronzong",175,"steel",67.0,89.0,116.0,79.0,116.0,33.0
438,"bonsly",58,"rock",50.0,80.0,95.0,10.0,45.0,10.0
439,"mime-jr",62,"psychic",20.0,25.0,45.0,70.0,90.0,60.0
440,"happiny",110,"normal",100.0,5.0,5.0,15.0,65.0,30.0
441,"chatot",144,"normal",76.0,65.0,45.0,92.0,42.0,91.0
442,"spiritomb",170,"ghost",50.0,92.0,108.0,92.0,108.0,35.0
443,"gible",60,"dragon",58.0,70.0,45.0,40.0,45.0,42.0
444,"gabite",144,"dragon",68.0,90.0,65.0,50.0,55.0,82.0
445,"garchomp",300,"dragon",108.0,130.0,95.0,80.0,85.0,102.0
446,"munchlax",78,"normal",135.0,85.0,40.0,40.0,85.0,5.0
447,"riolu",57,"fighting",40.0,70.0,40.0,35.0,40.0,60.0
448,"lucario",184,"fighting",70.0,110.0,70.0,115.0,70.0,90.0
449,"hippopotas",66,"ground",68.0,72.0,78.0,38.0,42.0,32.0
450,"hippowdon",184,"ground",108.0,112.0,118.0,68.0,72.0,47.0
451,"skorupi",66,"poison",40.0,50.0,90.0,30.0,55.0,65.0
452,"drapion",175,"poison",70.0,90.0,110.0,60.0,75.0,95.0
453,"croagunk",60,"poison",48.0,61.0,40.0,61.0,40.0,50.0
454,"toxicroak",172,"poison",83.0,106.0,65.0,86.0,65.0,85.0
455,"carnivine",159,"grass",74.0,100.0,72.0,90.0,72.0,46.0
456,"finneon",66,"water",49.0,49.0,56.0,49.0,61.0,66.0
457,"lumineon",161,"water",69.0,69.0,76.0,69.0,86.0,91.0
458,"mantyke",69,"water",45.0,20.0,50.0,60.0,120.0,50.0
459,"snover",67,"grass",60.0,62.0,50.0,62.0,60.0,40.0
460,"abomasnow",173,"grass",90.0,92.0,75.0,92.0,85.0,60.0
461,"weavile",179,"dark",70.0,120.0,65.0,45.0,85.0,125.0
462,"magnezone",268,"electric",70.0,70.0,115.0,130.0,90.0,60.0
463,"lickilicky",180,"normal",110.0,85.0,95.0,80.0,95.0,50.0
464,"rhyperior",268,"ground",115.0,140.0,130.0,55.0,55.0,40.0
465,"tangrowth",187,"grass",100.0,100.0,125.0,110.0,50.0,50.0
466,"electivire",270,"electric",75.0,123.0,67.0,95.0,85.0,95.0
467,"magmortar",270,"fire",75.0,95.0,67.0,125.0,95.0,83.0
468,"togekiss",273,"fairy",85.0,50.0,95.0,120.0,115.0,80.0
469,"yanmega",180,"bug",86.0,76.0,86.0,116.0,56.0,95.0
470,"leafeon",184,"grass",65.0,110.0,130.0,60.0,65.0,95.0
471,"glaceon",184,"ice",65.0,60.0,110.0,130.0,95.0,65.0
472,"gliscor",179,"ground",75.0,95.0,125.0,45.0,75.0,95.0
473,"mamoswine",265,"ice",110.0,130.0,80.0,70.0,60.0,80.0
474,"porygon-z",268,"normal",85.0,80.0,70.0,135.0,75.0,90.0
475,"gallade",259,"psychic",68.0,125.0,65.0,65.0,115.0,80.0
476,"probopass",184,"rock",60.0,55.0,145.0,75.0,150.0,40.0
477,"dusknoir",263,"ghost",45.0,100.0,135.0,65.0,135.0,45.0
478,"froslass",168,"ice",70.0,80.0,70.0,80.0,70.0,110.0
479,"rotom",154,"electric",50.0,50.0,77.0,95.0,77.0,91.0
480,"uxie",290,"psychic",75.0,75.0,130.0,75.0,130.0,95.0
481,"mesprit",290,"psychic",80.0,105.0,105.0,105.0,105.0,80.0
482,"azelf",290,"psychic",75.0,125.0,70.0,125.0,70.0,115.0
483,"dialga",340,"steel",100.0,120.0,120.0,150.0,100.0,90.0
484,"palkia",340,"water",90.0,120.0,100.0,150.0,120.0,100.0
485,"heatran",300,"fire",91.0,90.0,106.0,130.0,106.0,77.0
486,"regigigas",335,"normal",110.0,160.0,110.0,80.0,110.0,100.0
487,"giratina-altered",340,"ghost",150.0,100.0,120.0,100.0,120.0,90.0
488,"cresselia",300,"psychic",120.0,70.0,120.0,75.0,130.0,85.0
489,"phione",216,"water",80.0,80.0,80.0,80.0,80.0,80.0
490,"manaphy",270,"water",100.0,100.0,100.0,100.0,100.0,100.0
491,"darkrai",270,"dark",70.0,90.0,90.0,135.0,90.0,125.0
492,"shaymin-land",270,"grass",100.0,100.0,100.0,100.0,100.0,100.0
493,"arceus",324,"normal",120.0,120.0,120.0,120.0,120.0,120.0
494,"victini",300,"psychic",100.0,100.0,100.0,100.0,100.0,100.0
495,"snivy",62,"grass",45.0,45.0,55.0,45.0,55.0,63.0
496,"servine",145,"grass",60.0,60.0,75.0,60.0,75.0,83.0
497,"serperior",238,"grass",75.0,75.0,95.0,75.0,95.0,113.0
498,"tepig",62,"fire",65.0,63.0,45.0,45.0,45.0,45.0
499,"pignite",146,"fire",90.0,93.0,55.0,70.0,55.0,55.0
500,"emboar",238,"fire",110.0,123.0,65.0,100.0,65.0,65.0
501,"oshawott",62,"water",55.0,55.0,45.0,63.0,45.0,45.0
502,"dewott",145,"water",75.0,75.0,60.0,83.0,60.0,60.0
503,"samurott",238,"water",95.0,100.0,85.0,108.0,70.0,70.0
504,"patrat",51,"normal",45.0,55.0,39.0,35.0,39.0,42.0
505,"watchog",147,"normal",60.0,85.0,69.0,60.0,69.0,77.0
506,"lillipup",55,"normal",45.0,60.0,45.0,25.0,45.0,55.0
507,"herdier",130,"normal",65.0,80.0,65.0,35.0,65.0,60.0
508,"stoutland",250,"normal",85.0,110.0,90.0,45.0,90.0,80.0
509,"purrloin",56,"dark",41.0,50.0,37.0,50.0,37.0,66.0
510,"liepard",156,"dark",64.0,88.0,50.0,88.0,50.0,106.0
511,"pansage",63,"grass",50.0,53.0,48.0,53.0,48.0,64.0
512,"simisage",174,"grass",75.0,98.0,63.0,98.0,63.0,101.0
513,"pansear",63,"fire",50.0,53.0,48.0,53.0,48.0,64.0
514,"simisear",174,"fire",75.0,98.0,63.0,98.0,63.0,101.0
515,"panpour",63,"water",50.0,53.0,48.0,53.0,48.0,64.0
516,"simipour",174,"water",75.0,98.0,63.0,98.0,63.0,101.0
517,"munna",58,"psychic",76.0,25.0,45.0,67.0,55.0,24.0
518,"musharna",170,"psychic",116.0,55.0,85.0,107.0,95.0,29.0
519,"pidove",53,"normal",50.0,55.0,50.0,36.0,30.0,43.0
520,"tranquill",125,"normal",62.0,77.0,62.0,50.0,42.0,65.0
521,"unfezant",244,"normal",80.0,115.0,80.0,65.0,55.0,93.0
522,"blitzle",59,"electric",45.0,60.0,32.0,50.0,32.0,76.0
523,"zebstrika",174,"electric",75.0,100.0,63.0,80.0,63.0,116.0
524,"roggenrola",56,"rock",55.0,75.0,85.0,25.0,25.0,15.0
525,"boldore",137,"rock",70.0,105.0,105.0,50.0,40.0,20.0
526,"gigalith",258,"rock",85.0,135.0,130.0,60.0,80.0,25.0
527,"woobat",65,"psychic",65.0,45.0,43.0,55.0,43.0,72.0
528,"swoobat",149,"psychic",67.0,57.0,55.0,77.0,55.0,114.0
529,"drilbur",66,"ground",60.0,85.0,40.0,30.0,45.0,68.0
530,"excadrill",178,"ground",110.0,135.0,60.0,50.0,65.0,88.0
531,"audino",390,"normal",103.0,60.0,86.0,60.0,86.0,50.0
532,"timburr",61,"fighting",75.0,80.0,55.0,25.0,35.0,35.0
533,"gurdurr",142,"fighting",85.0,105.0,85.0,40.0,50.0,40.0
534,"conkeldurr",253,"fighting",105.0,140.0,95.0,55.0,65.0,45.0
535,"tympole",59,"water",50.0,50.0,40.0,50.0,40.0,64.0
536,"palpitoad",134,"water",75.0,65.0,55.0,65.0,55.0,69.0
537,"seismitoad",255,"water",105.0,95.0,75.0,85.0,75.0,74.0
538,"throh",163,"fighting",120.0,100.0,85.0,30.0,85.0,45.0
539,"sawk",163,"fighting",75.0,125.0,75.0,30.0,75.0,85.0
540,"sewaddle",62,"bug",45.0,53.0,70.0,40.0,60.0,42.0
541,"swadloon",133,"bug",55.0,63.0,90.0,50.0,80.0,42.0
542,"leavanny",225,"bug",75.0,103.0,80.0,70.0,80.0,92.0
543,"venipede",52,"bug",30.0,45.0,59.0,30.0,39.0,57.0
544,"whirlipede",126,"bug",40.0,55.0,99.0,40.0,79.0,47.0
545,"scolipede",243,"bug",60.0,100.0,89.0,55.0,69.0,112.0
546,"cottonee",56,"grass",40.0,27.0,60.0,37.0,50.0,66.0
547,"whimsicott",168,"grass",60.0,67.0,85.0,77.0,75.0,116.0
548,"petilil",56,"grass",45.0,35.0,50.0,70.0,50.0,30.0
549,"lilligant",168,"grass",70.0,60.0,75.0,110.0,75.0,90.0
550,"basculin-red-striped",161,"water",70.0,92.0,65.0,80.0,55.0,98.0
551,"sandile",58,"ground",50.0,72.0,35.0,35.0,35.0,65.0
552,"krokorok",123,"ground",60.0,82.0,45.0,45.0,45.0,74.0
553,"krookodile",260,"ground",95.0,117.0,80.0,65.0,70.0,92.0
554,"darumaka",63,"fire",70.0,90.0,45.0,15.0,45.0,50.0
555,"darmanitan-standard",168,"fire",105.0,140.0,55.0,30.0,55.0,95.0
556,"maractus",161,"grass",75.0,86.0,67.0,106.0,67.0,60.0
557,"dwebble",65,"bug",50.0,65.0,85.0,35.0,35.0,55.0
558,"crustle",170,"bug",70.0,105.0,125.0,65.0,75.0,45.0
559,"scraggy",70,"dark",50.0,75.0,70.0,35.0,70.0,48.0
560,"scrafty",171,"dark",65.0,90.0,115.0,45.0,115.0,58.0
561,"sigilyph",172,"psychic",72.0,58.0,80.0,103.0,80.0,97.0
562,"yamask",61,"ghost",38.0,30.0,85.0,55.0,65.0,30.0
563,"cofagrigus",169,"ghost",58.0,50.0,145.0,95.0,105.0,30.0
564,"tirtouga",71,"water",54.0,78.0,103.0,53.0,45.0,22.0
565,"carracosta",173,"water",74.0,108.0,133.0,83.0,65.0,32.0
566,"archen",71,"rock",55.0,112.0,45.0,74.0,45.0,70.0
567,"archeops",177,"rock",75.0,140.0,65.0,112.0,65.0,110.0
568,"trubbish",66,"poison",50.0,50.0,62.0,40.0,62.0,65.0
569,"garbodor",166,"poison",80.0,95.0,82.0,60.0,82.0,75.0
570,"zorua",66,"dark",40.0,65.0,40.0,80.0,40.0,65.0
571,"zoroark",179,"dark",60.0,105.0,60.0,120.0,60.0,105.0
572,"minccino",60,"normal",55.0,50.0,40.0,40.0,40.0,75.0
573,"cinccino",165,"normal",75.0,95.0,60.0,65.0,60.0,115.0
574,"gothita",58,"psychic",45.0,30.0,50.0,55.0,65.0,45.0
575,"gothorita",137,"psychic",60.0,45.0,70.0,75.0,85.0,55.0
576,"gothitelle",245,"psychic",70.0,55.0,95.0,95.0,110.0,65.0
577,"solosis",58,"psychic",45.0,30.0,40.0,105.0,50.0,20.0
578,"duosion",130,"psychic",65.0,40.0,50.0,125.0,60.0,30.0
579,"reuniclus",245,"psychic",110.0,65.0,75.0,125.0,85.0,30.0
580,"ducklett",61,"water",62.0,44.0,50.0,44.0,50.0,55.0
581,"swanna",166,"water",75.0,87.0,63.0,87.0,63.0,98.0
582,"vanillite",61,"ice",36.0,50.0,50.0,65.0,60.0,44.0
583,"vanillish",138,"ice",51.0,65.0,65.0,80.0,75.0,59.0
584,"vanilluxe",268,"ice",71.0,95.0,85.0,110.0,95.0,79.0
585,"deerling",67,"normal",60.0,60.0,50.0,40.0,50.0,75.0
586,"sawsbuck",166,"normal",80.0,100.0,70.0,60.0,70.0,95.0
587,"emolga",150,"electric",55.0,75.0,60.0,75.0,60.0,103.0
588,"karrablast",63,"bug",50.0,75.0,45.0,40.0,45.0,60.0
589,"escavalier",173,"bug",70.0,135.0,105.0,60.0,105.0,20.0
590,"foongus",59,"grass",69.0,55.0,45.0,55.0,55.0,15.0
591,"amoonguss",162,"grass",114.0,85.0,70.0,85.0,80.0,30.0
592,"frillish",67,"water",55.0,40.0,50.0,65.0,85.0,40.0
593,"jellicent",168,"water",100.0,60.0,70.0,85.0,105.0,60.0
594,"alomomola",165,"water",165.0,75.0,80.0,40.0,45.0,65.0
595,"joltik",64,"bug",50.0,47.0,50.0,57.0,50.0,65.0
596,"galvantula",165,"bug",70.0,77.0,60.0,97.0,60.0,108.0
597,"ferroseed",61,"grass",44.0,50.0,91.0,24.0,86.0,10.0
598,"ferrothorn",171,"grass",74.0,94.0,131.0,54.0,116.0,20.0
599,"klink",60,"steel",40.0,55.0,70.0,45.0,60.0,30.0
600,"klang",154,"steel",60.0,80.0,95.0,70.0,85.0,50.0
601,"klinklang",260,"steel",60.0,100.0,115.0,70.0,85.0,90.0
602,"tynamo",55,"electric",35.0,55.0,40.0,45.0,40.0,60.0
