"id","name","xp_reward","type","hp","atk","def","spatk","spdef","spd"
603,"eelektrik",142,"electric",65.0,85.0,70.0,75.0,70.0,40.0
604,"eelektross",232,"electric",85.0,115.0,80.0,105.0,80.0,50.0
605,"elgyem",67,"psychic",55.0,55.0,55.0,85.0,55.0,30.0
606,"beheeyem",170,"psychic",75.0,75.0,75.0,125.0,95.0,40.0
607,"litwick",55,"ghost",50.0,30.0,55.0,65.0,55.0,20.0
608,"lampent",130,"ghost",60.0,40.0,60.0,95.0,60.0,55.0
609,"chandelure",260,"ghost",60.0,55.0,90.0,145.0,90.0,80.0
610,"axew",64,"dragon",46.0,87.0,60.0,30.0,40.0,57.0
611,"fraxure",144,"dragon",66.0,117.0,70.0,40.0,50.0,67.0
612,"haxorus",270,"dragon",76.0,147.0,90.0,60.0,70.0,97.0
613,"cubchoo",61,"ice",55.0,70.0,40.0,60.0,40.0,40.0
614,"beartic",177,"ice",95.0,130.0,80.0,70.0,80.0,50.0
615,"cryogonal",180,"ice",80.0,50.0,50.0,95.0,135.0,105.0
616,"shelmet",61,"bug",50.0,40.0,85.0,40.0,65.0,25.0
617,"accelgor",173,"bug",80.0,70.0,40.0,100.0,60.0,145.0
618,"stunfisk",165,"ground",109.0,66.0,84.0,81.0,99.0,32.0
619,"mienfoo",70,"fighting",45.0,85.0,50.0,55.0,50.0,65.0
620,"mienshao",179,"fighting",65.0,125.0,60.0,95.0,60.0,105.0
621,"druddigon",170,"dragon",77.0,120.0,90.0,60.0,90.0,48.0
622,"golett",61,"ground",59.0,74.0,50.0,35.0,50.0,35.0
623,"golurk",169,"ground",89.0,124.0,80.0,55.0,80.0,55.0
624,"pawniard",68,"dark",45.0,85.0,70.0,40.0,40.0,60.0
625,"bisharp",172,"dark",65.0,125.0,100.0,60.0,70.0,70.0
626,"bouffalant",172,"normal",95.0,110.0,95.0,40.0,95.0,55.0
627,"rufflet",70,"normal",70.0,83.0,50.0,37.0,50.0,60.0
628,"braviary",179,"normal",100.0,123.0,75.0,57.0,75.0,80.0
629,"vullaby",74,"dark",70.0,55.0,75.0,45.0,65.0,60.0
630,"mandibuzz",179,"dark",110.0,65.0,105.0,55.0,95.0,80.0
631,"heatmor",169,"fire",85.0,97.0,66.0,105.0,66.0,65.0
632,"durant",169,"bug",58.0,109.0,112.0,48.0,48.0,109.0
633,"deino",60,"dark",52.0,65.0,50.0,45.0,50.0,38.0
634,"zweilous",147,"dark",72.0,85.0,70.0,65.0,70.0,58.0
635,"hydreigon",300,"dark",92.0,105.0,90.0,125.0,90.0,98.0
636,"larvesta",72,"bug",55.0,85.0,55.0,50.0,55.0,60.0
637,"volcarona",275,"bug",85.0,60.0,65.0,135.0,105.0,100.0
638,"cobalion",290,"steel",91.0,90.0,129.0,90.0,72.0,108.0
639,"terrakion",290,"rock",91.0,129.0,90.0,72.0,90.0,108.0
640,"virizion",290,"grass",91.0,90.0,72.0,90.0,129.0,108.0
641,"tornadus-incarnate",290,"flying",79.0,115.0,70.0,125.0,80.0,111.0
642,"thundurus-incarnate",290,"electric",79.0,115.0,70.0,125.0,80.0,111.0
643,"reshiram",340,"dragon",100.0,120.0,100.0,150.0,120.0,90.0
644,"zekrom",340,"dragon",100.0,150.0,120.0,120.0,100.0,90.0
645,"landorus-incarnate",300,"ground",89.0,125.0,90.0,115.0,80.0,101.0
646,"kyurem",330,"dragon",125.0,130.0,90.0,130.0,90.0,95.0
647,"keldeo-ordinary",290,"water",91.0,72.0,90.0,129.0,90.0,108.0
648,"meloetta-aria",270,"normal",100.0,77.0,77.0,128.0,128.0,90.0
649,"genesect",300,"bug",71.0,120.0,95.0,120.0,95.0,99.0
650,"chespin",63,"grass",56.0,61.0,65.0,48.0,45.0,38.0
651,"quilladin",142,"grass",61.0,78.0,95.0,56.0,58.0,57.0
652,"chesnaught",239,"grass",88.0,107.0,122.0,74.0,75.0,64.0
653,"fennekin",61,"fire",40.0,45.0,40.0,62.0,60.0,60.0
654,"braixen",143,"fire",59.0,59.0,58.0,90.0,70.0,73.0
655,"delphox",240,"fire",75.0,69.0,72.0,114.0,100.0,104.0
656,"froakie",63,"water",41.0,56.0,40.0,62.0,44.0,71.0
657,"frogadier",142,"water",54.0,63.0,52.0,83.0,56.0,97.0
658,"greninja",239,"water",72.0,95.0,67.0,103.0,71.0,122.0
659,"bunnelby",47,"normal",38.0,36.0,38.0,32.0,36.0,57.0
660,"diggersby",148,"normal",85.0,56.0,77.0,50.0,77.0,78.0
661,"fletchling",56,"normal",45.0,50.0,43.0,40.0,38.0,62.0
662,"fletchinder",134,"fire",62.0,73.0,55.0,56.0,52.0,84.0
663,"talonflame",175,"fire",78.0,81.0,71.0,74.0,69.0,126.0
664,"scatterbug",40,"bug",38.0,35.0,40.0,27.0,25.0,35.0
665,"spewpa",75,"bug",45.0,22.0,60.0,27.0,30.0,29.0
666,"vivillon",185,"bug",80.0,52.0,50.0,90.0,50.0,89.0
667,"litleo",74,"fire",62.0,50.0,58.0,73.0,54.0,72.0
668,"pyroar",177,"fire",86.0,68.0,72.0,109.0,66.0,106.0
669,"flabebe",61,"fairy",44.0,38.0,39.0,61.0,79.0,42.0
670,"floette",130,"fairy",54.0,45.0,47.0,75.0,98.0,52.0
671,"florges",248,"fairy",78.0,65.0,68.0,112.0,154.0,75.0
672,"skiddo",70,"grass",66.0,65.0,48.0,62.0,57.0,52.0
673,"gogoat",186,"grass",123.0,100.0,62.0,97.0,81.0,68.0
674,"pancham",70,"fighting",67.0,82.0,62.0,46.0,48.0,43.0
675,"pangoro",173,"fighting",95.0,124.0,78.0,69.0,71.0,58.0
676,"furfrou",165,"normal",75.0,80.0,60.0,65.0,90.0,102.0
677,"espurr",71,"psychic",62.0,48.0,54.0,63.0,60.0,68.0
678,"meowstic-male",163,"psychic",74.0,48.0,76.0,83.0,81.0,104.0
679,"honedge",65,"steel",45.0,80.0,100.0,35.0,37.0,28.0
680,"doublade",157,"steel",59.0,110.0,150.0,45.0,49.0,35.0
681,"aegislash-shield",250,"steel",60.0,50.0,140.0,50.0,140.0,60.0
682,"spritzee",68,"fairy",78.0,52.0,60.0,63.0,65.0,23.0
683,"aromatisse",162,"fairy",101.0,72.0,72.0,99.0,89.0,29.0
684,"swirlix",68,"fairy",62.0,48.0,66.0,59.0,57.0,49.0
685,"slurpuff",168,"fairy",82.0,80.0,86.0,85.0,75.0,72.0
686,"inkay",58,"dark",53.0,54.0,53.0,37.0,46.0,45.0
687,"malamar",169,"dark",86.0,92.0,88.0,68.0,75.0,73.0
688,"binacle",61,"rock",42.0,52.0,67.0,39.0,56.0,50.0
689,"barbaracle",175,"rock",72.0,105.0,115.0,54.0,86.0,68.0
690,"skrelp",64,"poison",50.0,60.0,60.0,60.0,60.0,30.0
691,"dragalge",173,"poison",65.0,75.0,90.0,97.0,123.0,44.0
692,"clauncher",66,"water",50.0,53.0,62.0,58.0,63.0,44.0
693,"clawitzer",100,"water",71.0,73.0,88.0,120.0,89.0,59.0
694,"helioptile",58,"electric",44.0,38.0,33.0,61.0,43.0,70.0
695,"heliolisk",168,"electric",62.0,55.0,52.0,109.0,94.0,109.0
696,"tyrunt",72,"rock",58.0,89.0,77.0,45.0,45.0,48.0
697,"tyrantrum",182,"rock",82.0,121.0,119.0,69.0,59.0,71.0
698,"amaura",72,"rock",77.0,59.0,50.0,67.0,63.0,46.0
699,"aurorus",104,"rock",123.0,77.0,72.0,99.0,92.0,58.0
700,"sylveon",184,"fairy",95.0,65.0,65.0,110.0,130.0,60.0
701,"hawlucha",175,"fighting",78.0,92.0,75.0,74.0,63.0,118.0
702,"dedenne",151,"electric",67.0,58.0,57.0,81.0,67.0,101.0
703,"carbink",100,"rock",50.0,50.0,150.0,50.0,150.0,50.0
704,"goomy",60,"dragon",45.0,50.0,35.0,55.0,75.0,40.0
705,"sliggoo",158,"dragon",68.0,75.0,53.0,83.0,113.0,60.0
706,"goodra",300,"dragon",90.0,100.0,70.0,110.0,150.0,80.0
707,"klefki",165,"steel",57.0,80.0,91.0,80.0,87.0,75.0
708,"phantump",62,"ghost",43.0,70.0,48.0,50.0,60.0,38.0
709,"trevenant",166,"ghost",85.0,110.0,76.0,65.0,82.0,56.0
710,"pumpkaboo-average",67,"ghost",49.0,66.0,70.0,44.0,55.0,51.0
711,"gourgeist-average",173,"ghost",65.0,90.0,122.0,58.0,75.0,84.0
712,"bergmite",61,"ice",55.0,69.0,85.0,32.0,35.0,28.0
713,"avalugg",180,"ice",95.0,117.0,184.0,44.0,46.0,28.0
714,"noibat",49,"flying",40.0,30.0,35.0,45.0,40.0,55.0
715,"noivern",187,"flying",85.0,70.0,80.0,97.0,80.0,123.0
716,"xerneas",340,"fairy",126.0,131.0,95.0,131.0,98.0,99.0
717,"yveltal",340,"dark",126.0,131.0,95.0,131.0,98.0,99.0
718,"zygarde-50",300,"dragon",108.0,100.0,121.0,81.0,95.0,95.0
719,"diancie",300,"rock",50.0,100.0,150.0,100.0,150.0,50.0
720,"hoopa",270,"psychic",80.0,110.0,60.0,150.0,130.0,70.0
721,"volcanion",300,"fire",80.0,110.0,120.0,130.0,90.0,70.0
722,"rowlet",64,"grass",68.0,55.0,55.0,50.0,50.0,42.0
723,"dartrix",147,"grass",78.0,75.0,75.0,70.0,70.0,52.0
724,"decidueye",265,"grass",78.0,107.0,75.0,100.0,100.0,70.0
725,"litten",64,"fire",45.0,65.0,40.0,60.0,40.0,70.0
726,"torracat",147,"fire",65.0,85.0,50.0,80.0,50.0,90.0
727,"incineroar",265,"fire",95.0,115.0,90.0,80.0,90.0,60.0
728,"popplio",64,"water",50.0,54.0,54.0,66.0,56.0,40.0
729,"brionne",147,"water",60.0,69.0,69.0,91.0,81.0,50.0
730,"primarina",265,"water",80.0,74.0,74.0,126.0,116.0,60.0
731,"pikipek",53,"normal",35.0,75.0,30.0,30.0,30.0,65.0
732,"trumbeak",124,"normal",55.0,85.0,50.0,40.0,50.0,75.0
733,"toucannon",218,"normal",80.0,120.0,75.0,75.0,75.0,60.0
734,"yungoos",51,"normal",48.0,70.0,30.0,30.0,30.0,45.0
735,"gumshoos",146,"normal",88.0,110.0,60.0,55.0,60.0,45.0
736,"grubbin",60,"bug",47.0,62.0,45.0,55.0,45.0,46.0
737,"charjabug",140,"bug",57.0,82.0,95.0,55.0,75.0,36.0
738,"vikavolt",250,"bug",77.0,70.0,90.0,145.0,75.0,43.0
739,"crabrawler",68,"fighting",47.0,82.0,57.0,42.0,47.0,63.0
740,"crabominable",167,"fighting",97.0,132.0,77.0,62.0,67.0,43.0
741,"oricorio-baile",167,"fire",75.0,70.0,70.0,98.0,70.0,93.0
742,"cutiefly",61,"bug",40.0,45.0,40.0,55.0,40.0,84.0
743,"ribombee",162,"bug",60.0,55.0,60.0,95.0,70.0,124.0
744,"rockruff",56,"rock",45.0,65.0,40.0,30.0,40.0,60.0
745,"lycanroc-midday",170,"rock",75.0,115.0,65.0,55.0,65.0,112.0
746,"wishiwashi-solo",61,"water",45.0,20.0,20.0,25.0,25.0,40.0
747,"mareanie",61,"poison",50.0,53.0,62.0,43.0,52.0,45.0
748,"toxapex",173,"poison",50.0,63.0,152.0,53.0,142.0,35.0
749,"mudbray",77,"ground",70.0,100.0,70.0,45.0,55.0,45.0
750,"mudsdale",175,"ground",100.0,125.0,100.0,55.0,85.0,35.0
751,"dewpider",54,"water",38.0,40.0,52.0,40.0,72.0,27.0
752,"araquanid",159,"water",68.0,70.0,92.0,50.0,132.0,42.0
753,"fomantis",50,"grass",40.0,55.0,35.0,50.0,35.0,35.0
754,"lurantis",168,"grass",70.0,105.0,90.0,80.0,90.0,45.0
755,"morelull",57,"grass",40.0,35.0,55.0,65.0,75.0,15.0
756,"shiinotic",142,"grass",60.0,45.0,80.0,90.0,100.0,30.0
757,"salandit",64,"poison",48.0,44.0,40.0,71.0,40.0,77.0
758,"salazzle",168,"poison",68.0,64.0,60.0,111.0,60.0,117.0
759,"stufful",68,"normal",70.0,75.0,50.0,45.0,50.0,50.0
760,"bewear",175,"normal",120.0,125.0,80.0,55.0,60.0,60.0
761,"bounsweet",42,"grass",42.0,30.0,38.0,30.0,38.0,32.0
762,"steenee",102,"grass",52.0,40.0,48.0,40.0,48.0,62.0
763,"tsareena",255,"grass",72.0,120.0,98.0,50.0,98.0,72.0
764,"comfey",170,"fairy",51.0,52.0,90.0,82.0,110.0,100.0
765,"oranguru",172,"normal",90.0,60.0,80.0,90.0,110.0,60.0
766,"passimian",172,"fighting",100.0,120.0,90.0,40.0,60.0,80.0
767,"wimpod",46,"bug",25.0,35.0,40.0,20.0,30.0,80.0
768,"golisopod",186,"bug",75.0,125.0,140.0,60.0,90.0,40.0
769,"sandygast",64,"ghost",55.0,55.0,80.0,70.0,45.0,15.0
770,"palossand",168,"ghost",85.0,75.0,110.0,100.0,75.0,35.0
771,"pyukumuku",144,"water",55.0,60.0,130.0,30.0,130.0,5.0
772,"type-null",107,"normal",95.0,95.0,95.0,95.0,95.0,59.0
773,"silvally",285,"normal",95.0,95.0,95.0,95.0,95.0,95.0
774,"minior-red-meteor",154,"rock",60.0,60.0,100.0,60.0,100.0,60.0
775,"komala",168,"normal",65.0,115.0,65.0,75.0,95.0,65.0
776,"turtonator",170,"fire",60.0,78.0,135.0,91.0,85.0,36.0
777,"togedemaru",152,"electric",65.0,98.0,63.0,40.0,73.0,96.0
778,"mimikyu-disguised",167,"ghost",55.0,90.0,80.0,50.0,105.0,96.0
779,"bruxish",166,"water",68.0,105.0,70.0,70.0,70.0,92.0
780,"drampa",170,"normal",78.0,60.0,85.0,135.0,91.0,36.0
781,"dhelmise",181,"ghost",70.0,131.0,100.0,86.0,90.0,40.0
782,"jangmo-o",60,"dragon",45.0,55.0,65.0,45.0,45.0,45.0
783,"hakamo-o",147,"dragon",55.0,75.0,90.0,65.0,70.0,65.0
784,"kommo-o",300,"dragon",75.0,110.0,125.0,100.0,105.0,85.0
785,"tapu-koko",285,"electric",70.0,115.0,85.0,95.0,75.0,130.0
786,"tapu-lele",285,"psychic",70.0,85.0,75.0,130.0,115.0,95.0
787,"tapu-bulu",285,"grass",70.0,130.0,115.0,85.0,95.0,75.0
788,"tapu-fini",285,"water",70.0,75.0,115.0,95.0,130.0,85.0
789,"cosmog",40,"psychic",43.0,29.0,31.0,29.0,31.0,37.0
790,"cosmoem",140,"psychic",43.0,29.0,131.0,29.0,131.0,37.0
791,"solgaleo",340,"psychic",137.0,137.0,107.0,113.0,89.0,97.0
792,"lunala",340,"psychic",137.0,113.0,89.0,137.0,107.0,97.0
793,"nihilego",285,"rock",109.0,53.0,47.0,127.0,131.0,103.0
794,"buzzwole",285,"bug",107.0,139.0,139.0,53.0,53.0,79.0
795,"pheromosa",285,"bug",71.0,137.0,37.0,137.0,37.0,151.0
796,"xurkitree",285,"electric",83.0,89.0,71.0,173.0,71.0,83.0
797,"celesteela",285,"steel",97.0,101.0,103.0,107.0,101.0,61.0
798,"kartana",285,"grass",59.0,181.0,131.0,59.0,31.0,109.0
799,"guzzlord",285,"dark",223.0,101.0,53.0,97.0,53.0,43.0
800,"necrozma",300,"psychic",97.0,107.0,101.0,127.0,89.0,79.0
801,"magearna",300,"steel",80.0,95.0,115.0,130.0,115.0,65.0
802,"marshadow",300,"fighting",90.0,125.0,80.0,90.0,90.0,125.0
803,"poipole",210,"poison",67.0,73.0,67.0,73.0,67.0,73.0
804,"naganadel",270,"poison",73.0,73.0,73.0,127.0,73.0,121.0
805,"stakataka",285,"rock",61.0,131.0,211.0,53.0,101.0,13.0
806,"blacephalon",285,"fire",53.0,127.0,53.0,151.0,79.0,107.0
807,"zeraora",300,"electric",88.0,112.0,75.0,102.0,80.0,143.0
808,"meltan",150,"steel",46.0,65.0,65.0,55.0,35.0,34.0
809,"melmetal",300,"steel",135.0,143.0,143.0,80.0,65.0,34.0
810,"grookey",62,"grass",50.0,65.0,50.0,40.0,40.0,65.0
811,"thwackey",147,"grass",70.0,85.0,70.0,55.0,60.0,80.0
812,"rillaboom",265,"grass",100.0,125.0,90.0,60.0,70.0,85.0
813,"scorbunny",62,"fire",50.0,71.0,40.0,40.0,40.0,69.0
814,"raboot",147,"fire",65.0,86.0,60.0,55.0,60.0,94.0
815,"cinderace",265,"fire",80.0,116.0,75.0,65.0,75.0,119.0
816,"sobble",62,"water",50.0,40.0,40.0,70.0,40.0,70.0
817,"drizzile",147,"water",65.0,60.0,55.0,95.0,55.0,90.0
818,"inteleon",265,"water",70.0,85.0,65.0,125.0,65.0,120.0
819,"skwovet",55,"normal",70.0,55.0,55.0,35.0,35.0,25.0
820,"greedent",161,"normal",120.0,95.0,95.0,55.0,75.0,20.0
821,"rookidee",49,"flying",38.0,47.0,35.0,33.0,35.0,57.0
822,"corvisquire",128,"flying",68.0,67.0,55.0,43.0,55.0,77.0
823,"corviknight",248,"flying",98.0,87.0,105.0,53.0,85.0,67.0
824,"blipbug",36,"bug",25.0,20.0,20.0,25.0,45.0,45.0
825,"dottler",117,"bug",50.0,35.0,80.0,50.0,90.0,30.0
826,"orbeetle",253,"bug",60.0,45.0,110.0,80.0,120.0,90.0
827,"nickit",49,"dark",40.0,28.0,28.0,47.0,52.0,50.0
828,"thievul",159,"dark",70.0,58.0,58.0,87.0,92.0,90.0
829,"gossifleur",50,"grass",40.0,40.0,60.0,40.0,60.0,10.0
830,"eldegoss",161,"grass",60.0,50.0,90.0,80.0,120.0,60.0
831,"wooloo",122,"normal",42.0,40.0,55.0,40.0,45.0,48.0
832,"dubwool",172,"normal",72.0,80.0,100.0,60.0,90.0,88.0
833,"chewtle",57,"water",50.0,64.0,50.0,38.0,38.0,44.0
834,"drednaw",170,"water",90.0,115.0,90.0,48.0,68.0,74.0
835,"yamper",54,"electric",59.0,45.0,50.0,40.0,50.0,26.0
836,"boltund",172,"electric",69.0,90.0,60.0,90.0,60.0,121.0
837,"rolycoly",48,"rock",30.0,40.0,50.0,40.0,50.0,30.0
838,"carkol",144,"rock",80.0,60.0,90.0,60.0,70.0,50.0
839,"coalossal",255,"rock",110.0,80.0,120.0,80.0,90.0,30.0
840,"applin",52,"grass",40.0,40.0,80.0,40.0,40.0,20.0
841,"flapple",170,"grass",70.0,110.0,80.0,95.0,60.0,70.0
842,"appletun",170,"grass",110.0,85.0,80.0,100.0,80.0,30.0
843,"silicobra",63,"ground",52.0,57.0,75.0,35.0,50.0,46.0
844,"sandaconda",179,"ground",72.0,107.0,125.0,65.0,70.0,71.0
845,"cramorant",166,"flying",70.0,85.0,55.0,85.0,95.0,85.0
846,"arrokuda",56,"water",41.0,63.0,40.0,40.0,30.0,66.0
847,"barraskewda",172,"water",61.0,123.0,60.0,60.0,50.0,136.0
848,"toxel",48,"electric",40.0,38.0,35.0,54.0,35.0,40.0
849,"toxtricity-amped",176,"electric",75.0,98.0,70.0,114.0,70.0,75.0
850,"sizzlipede",61,"fire",50.0,65.0,45.0,50.0,50.0,45.0
851,"centiskorch",184,"fire",100.0,115.0,65.0,90.0,90.0,65.0
852,"clobbopus",62,"fighting",50.0,68.0,60.0,50.0,50.0,32.0
853,"grapploct",168,"fighting",80.0,118.0,90.0,70.0,80.0,42.0
854,"sinistea",62,"ghost",40.0,45.0,45.0,74.0,54.0,50.0
855,"polteageist",178,"ghost",60.0,65.0,65.0,134.0,114.0,70.0
856,"hatenna",53,"psychic",42.0,30.0,45.0,56.0,53.0,39.0
857,"hattrem",130,"psychic",57.0,40.0,65.0,86.0,73.0,49.0
858,"hatterene",255,"psychic",57.0,90.0,95.0,136.0,103.0,29.0
859,"impidimp",53,"dark",45.0,45.0,30.0,55.0,40.0,50.0
860,"morgrem",130,"dark",65.0,60.0,45.0,75.0,55.0,70.0
861,"grimmsnarl",255,"dark",95.0,120.0,65.0,95.0,75.0,60.0
862,"obstagoon",260,"dark",93.0,90.0,101.0,60.0,81.0,95.0
863,"perrserker",154,"steel",70.0,110.0,100.0,50.0,60.0,50.0
864,"cursola",179,"ghost",60.0,95.0,50.0,145.0,130.0,30.0
865,"sirfetchd",177,"fighting",62.0,135.0,95.0,68.0,82.0,65.0
866,"mr-rime",182,"ice",80.0,85.0,75.0,110.0,100.0,70.0
867,"runerigus",169,"ground",58.0,95.0,145.0,50.0,105.0,30.0
868,"milcery",54,"fairy",45.0,40.0,40.0,50.0,61.0,34.0
869,"alcremie",173,"fairy",65.0,60.0,75.0,110.0,121.0,64.0
870,"falinks",165,"fighting",65.0,100.0,100.0,70.0,60.0,75.0
871,"pincurchin",152,"electric",48.0,101.0,95.0,91.0,85.0,15.0
872,"snom",37,"ice",30.0,25.0,35.0,45.0,30.0,20.0
873,"frosmoth",166,"ice",70.0,65.0,60.0,125.0,90.0,65.0
874,"stonjourner",165,"rock",100.0,125.0,135.0,20.0,20.0,70.0
875,"eiscue-ice",165,"ice",75.0,80.0,110.0,65.0,90.0,50.0
876,"indeedee-male",166,"psychic",60.0,65.0,55.0,105.0,95.0,95.0
877,"morpeko-full-belly",153,"electric",58.0,95.0,58.0,70.0,58.0,97.0
878,"cufant",66,"steel",72.0,80.0,49.0,40.0,49.0,40.0
879,"copperajah",175,"steel",122.0,130.0,69.0,80.0,69.0,30.0
880,"dracozolt",177,"electric",90.0,100.0,90.0,80.0,70.0,75.0
881,"arctozolt",177,"electric",90.0,100.0,90.0,90.0,80.0,55.0
882,"dracovish",177,"water",90.0,90.0,100.0,70.0,80.0,75.0
883,"arctovish",177,"water",90.0,90.0,100.0,80.0,90.0,55.0
884,"duraludon",187,"steel",70.0,95.0,115.0,120.0,50.0,85.0
885,"dreepy",54,"dragon",28.0,60.0,30.0,40.0,30.0,82.0
886,"drakloak",144,"dragon",68.0,80.0,50.0,60.0,50.0,102.0
887,"dragapult",300,"dragon",88.0,120.0,75.0,100.0,75.0,142.0
888,"zacian",335,"fairy",92.0,130.0,115.0,80.0,115.0,138.0
889,"zamazenta",335,"fighting",92.0,130.0,115.0,80.0,115.0,138.0
890,"eternatus",345,"poison",140.0,85.0,95.0,145.0,95.0,130.0
891,"kubfu",77,"fighting",60.0,90.0,60.0,53.0,50.0,72.0
892,"urshifu-single-strike",275,"fighting",100.0,130.0,100.0,63.0,60.0,97.0
893,"zarude",300,"dark",105.0,120.0,105.0,70.0,95.0,105.0
894,"regieleki",290,"electric",80.0,100.0,50.0,100.0,50.0,200.0
895,"regidrago",290,"dragon",200.0,100.0,50.0,100.0,50.0,80.0
896,"glastrier",290,"ice",100.0,145.0,130.0,65.0,110.0,30.0
897,"spectrier",290,"ghost",100.0,65.0,60.0,145.0,80.0,130.0
898,"calyrex",250,"psychic",100.0,80.0,80.0,80.0,80.0,80.0
